sorteo,ganadores,orden,tiempo
1,2,44,162591
2,1,26,110179
3,3,41,155172
4,1,46,171247
5,1,44,171132
6,1,47,169521
7,2,39,171140
8,2,42,173906
9,1,33,136057
10,1,36,154173
11,1,40,167569
12,1,43,159545
13,1,43,168072
14,4,46,178625
15,9,12,49399
16,3,13,49531
17,4,7,33757
18,9,14,56871
19,1,10,42410
20,1,11,48620
21,1,13,53530
22,2,8,40496
23,4,10,43433
24,2,12,46456
25,2,10,44144
26,1,11,46390
27,4,8,37937
28,1,6,31145
29,1,8,34819
30,2,9,35415
31,1,7,33089
32,3,7,32609
33,1,9,34043
34,12,13,50435
35,1,11,45117
36,1,6,30059
37,1,5,24115
38,1,11,49062
39,2,10,42223
40,2,8,38182
41,1,8,35995
42,1,7,30030
43,5,12,45863
44,2,8,33839
45,1,7,33599
46,2,8,34784
47,1,8,33494
48,1,8,33242
49,1,9,37872
50,12,8,38490
51,2,10,43854
52,1,8,32653
53,1,8,30842
54,1,8,36564
55,1,10,39328
56,3,10,43075
57,1,10,42438
58,16,11,50011
59,1,8,36333
60,1,10,44726
61,1,11,43419
62,8,7,35216
63,1,6,29811
64,1,7,30675
65,2,7,33206
66,4,12,45232
67,9,7,34772
68,4,6,31707
69,4,9,40213
70,1,6,31944
71,1,10,35779
72,1,7,33855
73,2,10,43250
74,2,12,51492
75,1,10,45085
76,1,10,43432
77,2,11,44545
78,1,9,41944
79,1,9,38698
80,22,14,57492
81,3,8,34656
82,2,11,43037
83,1,10,38675
84,2,9,37721
85,1,7,31731
86,1,10,38493
87,4,9,43949
88,2,7,31536
89,11,14,53818
90,1,9,41754
91,8,10,45382
92,1,8,36643
93,11,11,49901
94,1,8,36560
95,1,12,49217
96,3,11,47685
97,1,8,33878
98,3,8,36533
99,1,8,33587
100,2,12,43797
